[14.01.2019 12:02:42] Configuring services.
[14.01.2019 12:02:44] Executing ModuleLoaderMiddleware
[14.01.2019 12:02:45] Copying module Bong.Portal to \bin
[14.01.2019 12:02:53] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.Extensions.Logging.Abstractions.dll' already exists.
[14.01.2019 12:02:53] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.Extensions.Logging.Configuration.dll' already exists.
[14.01.2019 12:02:53] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.Extensions.Logging.Console.dll' already exists.
[14.01.2019 12:02:53] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.Extensions.Logging.Debug.dll' already exists.
[14.01.2019 12:02:53] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.Extensions.Logging.dll' already exists.
[14.01.2019 12:02:53] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.Extensions.Logging.EventSource.dll' already exists.
[14.01.2019 12:02:53] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.Extensions.Logging.TraceSource.dll' already exists.
[14.01.2019 12:02:54] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.Extensions.ObjectPool.dll' already exists.
[14.01.2019 12:02:54] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.Extensions.Options.ConfigurationExtensions.dll' already exists.
[14.01.2019 12:02:54] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.Extensions.Options.dll' already exists.
[14.01.2019 12:02:54] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.Extensions.Primitives.dll' already exists.
[14.01.2019 12:02:54] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.Extensions.WebEncoders.dll' already exists.
[14.01.2019 12:02:54] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.IdentityModel.Logging.dll' already exists.
[14.01.2019 12:02:54] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.IdentityModel.Protocols.dll' already exists.
[14.01.2019 12:02:54] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.IdentityModel.Protocols.OpenIdConnect.dll' already exists.
[14.01.2019 12:02:54] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.IdentityModel.Protocols.WsFederation.dll' already exists.
